drug_kegg_id,target_ko_number
D07460,K04145
D00105,K08551
D02450,K00796
D00587,K00796
D08457,K04145
D09567,K08556
D00323,K00560
D08441,K04851
D04065,K08551
D02474,K02470
D00985,K05771
D08010,K04280
D02306,K02622
D08483,K19394
D01637,K05771
D04065,K08550
D02474,K02622
D06672,K04227
D00982,K05771
D01580,K08556
D07203,K05771
D00183,K02469
D07517,K00509
D06273,K04131
D06671,K04139
D00312,K08551
D08291,K02622
D02218,K13296
D00088,K05771
D08441,K04129
D03047,K19302
D00562,K01562
D09331,K02622
D08058,K00509
D08058,K11987
D05002,K05771
D10518,K18964
D01239,K05771
D01410,K00461
D00718,K13296
D04490,K11987
D00882,K05917
D00210,K02469
D01142,K00796
D03287,K04576
D10497,K04219
D01153,K02622
D07464,K05771
D03048,K06153
D05382,K02470
D00350,K05917
D07961,K13296
D02218,K19021
D00589,K02622
D00292,K05771
D01615,K05771
D00220,K01428
D00453,K02621
D00310,K02469
D00465,K04129
D01462,K04145
D10879,K02622
D05364,K04585
D00970,K11987
D01510,K05771
D00878,K11386
D01948,K05771
D11629,K04202
D00465,K04133
D07905,K04135
D02367,K08550
D05407,K18964
D01692,K04135
D01299,K08557
D01431,K02469
D00465,K04131
D00972,K05771
D08574,K08557
D11585,K04135
D02288,K05771
D02218,K13298
D11618,K02470
D07918,K08550
D00898,K08551
D01294,K08556
D00872,K02470
D00751,K05771
D07516,K11987
D01616,K08557
D01144,K02469
D03062,K08551
D00592,K00796
D04666,K04218
D00951,K08556
D02861,K22599
D08496,K02470
D02474,K02621
D01103,K04130
D10147,K04219
D07220,K08556
D01716,K02470
D02318,K02470
D06569,K04202
D00680,K04137
D09687,K08556
D07221,K08551
D06671,K04138
D00465,K04132
D01263,K04142
D07973,K05771
D04672,K08551
D08379,K02469
D06457,K04248
D07906,K04137
D12597,K00509
D00269,K08551
D04885,K08556
D04490,K00509
D02867,K22599
D11933,K02470
D11618,K02622
D06478,K22599
D00185,K08550
D08605,K22599
D02471,K02470
D06086,K08557
D00453,K02622
D09331,K02470
D02435,K00796
D03047,K06153
D00718,K18436
D00780,K04145
D08011,K02469
D00429,K22599
D06671,K04140
D10772,K02622
D12752,K22599
D07906,K04135
D01986,K08551
D00453,K02469
D01431,K02470
D02469,K02469
D08012,K02621
D06298,K18964
D06672,K04226
D00447,K00796
D03698,K08555
D00291,K04228
D09335,K04280
D00562,K00431
D00419,K04261
D00126,K11987
D07425,K18436
D00874,K02622
D01122,K00509
D00877,K01775
D01103,K04131
D07961,K18436
D06655,K04584
D07229,K04229
D03269,K04259
D02317,K02622
D00718,K13293
D02692,K04248
D10497,K04217
D01122,K11987
D01617,K08551
D10147,K04218
D08571,K04228
D08644,K13938
D00398,K18964
D02008,K13762
D11113,K08362
D02541,K02470
D00210,K02470
D11062,K07433
D08441,K04853
D07792,K08555
D07749,K05771
D02469,K02621
D08409,K08557
D07222,K08556
D07227,K04227
D00722,K04129
D02317,K02469
D10017,K11987
D08496,K02469
D07425,K13296
D01402,K05771
D02367,K08556
D08479,K03046
D05258,K04248
D02318,K02469
D08409,K08551
D11618,K02621
D07961,K18438
D00408,K08557
