drug_kegg_id,target_ko_number
D00552,K04837
D00387,K05175
D00807,K05175
D09698,K05037
D00509,K04137
D02212,K04129
D05039,K00274
D01393,K05175
D10627,K05211
D00691,K18437
D02098,K04838
D02098,K04842
D00368,K07374
D05512,K00509
D01017,K04137
D00696,K05175
D00505,K00274
D02578,K04285
D01768,K04837
D08684,K04138
D02212,K04133
D00124,K04140
D11651,K04218
D01192,K04149
D05157,K04814
D01385,K04322
D00195,K04215
D00695,K05192
D07770,K04807
D01630,K13293
D10254,K11987
D03443,K04194
D06238,K00287
D08837,K04131
D08368,K04139
D01408,K05185
D08578,K04136
D00525,K04130
D09881,K17692
D10627,K05208
D11630,K04267
D01224,K04139
D00813,K11987
D07491,K04265
D11414,K05209
D08145,K05175
D01123,K04264
D01408,K05192
D00509,K04140
D00821,K05037
D00552,K04838
D10133,K05035
D02578,K04286
D05466,K04139
D11771,K05436
D07194,K04149
D00691,K13298
D05947,K00796
D02098,K04840
D05511,K00509
D07770,K04816
D00822,K05037
D00733,K04838
D08690,K05184
D01303,K04855
D01385,K19021
D00691,K13293
D10133,K05037
D07448,K05037
D03725,K04215
D09881,K17690
D07534,K04142
D00691,K18436
D01285,K05037
D08288,K05037
D01946,K04131
D04127,K04879
D00814,K05037
D03721,K05036
D00370,K05192
D01768,K04840
D00517,K12318
D10627,K05209
D04765,K04140
D03740,K05035
D06224,K05175
D07871,K18245
D07770,K04811
D01768,K04838
D00164,K08528
D07678,K04843
D00184,K17611
D08432,K04149
D08145,K05192
D00813,K00509
D01386,K04136
D00329,K05192
D03854,K04149
D01205,K04138
D04127,K04876
D10185,K05037
D01205,K04139
D07603,K04266
D10194,K05186
D00509,K04139
D08578,K04135
D01017,K04139
D08622,K06466
D00329,K05184
D02327,K04149
D02624,K05181
D05649,K04135
D11619,K05035
D02098,K04837
D00663,K04149
D08368,K04137
D10689,K04880
D07407,K04149
D00184,K17610
D08085,K00274
D01452,K04262
D00697,K05186
D02408,K05037
D00552,K04843
D03579,K04215
D07349,K04133
D07880,K05035
D10184,K04819
D02112,K03911
D05157,K04818
D08447,K05037
D10194,K05192
D01017,K04136
D11008,K11158
D07679,K04149
D08837,K04132
D08229,K04322
D00820,K05037
D01373,K04142
D01224,K04136
D08039,K04142
D02574,K05035
D00387,K05186
D02780,K05209
D02572,K05035
D10185,K04153
D08071,K05037
D01296,K05035
D07617,K04149
D01172,K04149
D00380,K05032
D08297,K20719
D04747,K05035
D13014,K04514
D08381,K05181
D07770,K04818
D07678,K04837
D01477,K20719
D00550,K05185
D00124,K04139
D00469,K01049
D08187,K05035
D04765,K04138
D06224,K05195
D07770,K04814
D00329,K05181
D10194,K05184
D00706,K05185
D08141,K04140
D01372,K05189
D02744,K05131
D09698,K04153
D00691,K13755
D01453,K04266
D08690,K05192
D01477,K04157
D00397,K04131
D00311,K05189
D00695,K05184
D05718,K04142
D02237,K05035
D00603,K04141
D08090,K04143
D00329,K05189
D00540,K04131
D10689,K04875
D00805,K01049
D08187,K05037
D07286,K04215
D00043,K01049
D00871,K00796
D00687,K04142
D08297,K04149
D01324,K04149
D00706,K05181
D00706,K05189
D02234,K04153
D03721,K05035
D02234,K04157
D00814,K04149
D08090,K04142
D00164,K08527
D04018,K04138
D05277,K04142
D01408,K05186
D00817,K05036
D04127,K04874
D08070,K05037
D08424,K04142
D02724,K04262
D08161,K04149
D02624,K05184
D02354,K04145
D05660,K04149
D07510,K03911
D00815,K05035
D00695,K05175
D04716,K04215
D07770,K04815
D00820,K04157
D08368,K04135
D02624,K05185
D02127,K05181
D08368,K04140
D10999,K08155
D11572,K05771
D05157,K04803
D08141,K04139
D03622,K04149
D07678,K04840
D00488,K13998
D02076,K04139
D00733,K04833
D02173,K01049
D02098,K04834
D00397,K04133
D02242,K08155
D07385,K04215
D05113,K04215
D08690,K05181
D02780,K05212
D04127,K04875
D07125,K04149
D00691,K04265
D07401,K04149
D05143,K00509
D07810,K04215
D07058,K05209
D00691,K18283
D08195,K04215
D02205,K04215
D07871,K01672
D08387,K04142
D00814,K05035
D07132,K04215
D01631,K04195
D05649,K04140
D00550,K05189
D08447,K05035
D01224,K04137
D00532,K05186
D08368,K04136
D00370,K05175
D04018,K04139
D05466,K04137
D00514,K04140
D10194,K05185
D01408,K05181
D07403,K04149
D00300,K04149
D01228,K01049
D01393,K05195
D08187,K05036
D00311,K05185
D00696,K05186
D07349,K04130
D12249,K13649
D00603,K04142
D02102,K04215
D01627,K04149
D07349,K04129
D07880,K05037
D08624,K04138
D00532,K05175
D01004,K04133
D07971,K04855
D07349,K04131
D01477,K04149
D11886,K04238
D00733,K04841
D01285,K05035
D01224,K04140
D10181,K04131
D01768,K04836
D00697,K05185
D00184,K06268
D05157,K04817
D01712,K04265
D01393,K05181
D00669,K04149
D00532,K05185
D02098,K04836
D08587,K04149
D01360,K04142
D08837,K04130
D07770,K04809
D07770,K04812
D07981,K05771
D01343,K04149
D11328,K05036
D05649,K04139
D07338,K00274
D01386,K04135
D00903,K00509
D08187,K08155
D08624,K04139
D08684,K04135
D08684,K04140
D04999,K05036
D00528,K04266
D00534,K01050
D07283,K05210
D06327,K04153
D07803,K04149
D01000,K04129
D01372,K05181
D10689,K04878
D01946,K04132
D01546,K05035
D02212,K04130
D12403,K05035
D00695,K05181
D08117,K04149
D11414,K05210
D00227,K04265
D07727,K05035
D01174,K04149
D00552,K04841
D02624,K05175
D00804,K05273
D02481,K01537
D04999,K05035
D00817,K05035
D03704,K04149
D05157,K04812
D03740,K08155
D02089,K04149
D00691,K13296
D01768,K04833
D00124,K04136
D08376,K04130
D04018,K04140
D00995,K01049
D07678,K04841
D07326,K05185
D00695,K05185
D07541,K00509
D11829,K08551
D00697,K05181
D12403,K05037
D03163,K11987
D07405,K01590
D01021,K04137
D02566,K05035
D03102,K04151
D05513,K00509
D00707,K13951
D00733,K04837
D02624,K05189
D11022,K04239
D08624,K04136
D09874,K05067
D07492,K04149
D05143,K11987
D08253,K04136
D01386,K04138
D11083,K05448
D07283,K05212
D03744,K20719
D08428,K13998
D11029,K01314
D04382,K05035
D01004,K04131
D00733,K04836
D00670,K01049
D00805,K01050
D09388,K04285
D02066,K04143
D07522,K04151
D07770,K04808
D01372,K05186
D01768,K04842
D01713,K04149
D10689,K04874
D10441,K04262
D01946,K04133
D00329,K05185
D00227,K04267
D07058,K05208
D02151,K04142
D07678,K04834
D07283,K05211
D00370,K05185
D06405,K04214
D02066,K04142
D00691,K18438
D02487,K13998
D01372,K05185
D00124,K04135
D07678,K04842
D00494,K04149
D11619,K05037
D07448,K05035
D10184,K04153
D01578,K11987
D00311,K05181
D01712,K04267
D08091,K04149
D03215,K05036
D00311,K05192
D05200,K05035
D09881,K17691
D05649,K04138
D08684,K04137
D00525,K04131
D01021,K04135
D07058,K05210
D02689,K04285
D10510,K04149
D02066,K04141
D07326,K05175
D08381,K05175
D01408,K05189
D00387,K05189
D10978,K04131
D00816,K05037
D10689,K04876
D07678,K04833
D05116,K08557
D02624,K05186
D07495,K05771
D03740,K05036
D01224,K04135
D01946,K04129
D08575,K08155
D02780,K05211
D02104,K04215
D00550,K05181
D00807,K05181
D00236,K00412
D05512,K11987
D00511,K04135
D01017,K04140
D00517,K12319
D04127,K04878
D04127,K04881
D00706,K05192
D07326,K05184
D03475,K04149
D07445,K05036
D00550,K05186
D00391,K00560
D00484,K05037
D08145,K05184
D11693,K05217
D00520,K04149
D00329,K05175
D00815,K05037
D02212,K04132
D00487,K01049
D00697,K05189
D00164,K08529
D02922,K00546
D00696,K05181
D07522,K04149
D10689,K04877
D08837,K04133
D01000,K04130
D02076,K04140
D02744,K05130
D12250,K13649
D04461,K04215
D08624,K04135
D05648,K04136
D01230,K05189
D07455,K19021
D09970,K11219
D00819,K04137
D05648,K04138
D02419,K04149
D02404,K04142
D08950,K05085
D09970,K04447
D00775,K05209
D04923,K05428
D00666,K04149
D12353,K25015
D08675,K07375
D10636,K06226
D10900,K22274
D09669,K05405
D01977,K04361
D02017,K04265
D00688,K04142
D09955,K05092
D11149,K05184
D00689,K05771
D01295,K04149
D02387,K13998
D08257,K04136
D01744,K05175
D02101,K04215
D11454,K03176
D11415,K05208
D02610,K04145
D04905,K05210
D03106,K08525
D00563,K04138
D01347,K04135
D10732,K28005
D11454,K05101
D03058,K05068
D10960,K04505
D07875,K05037
D00665,K04149
D09960,K04447
D08174,K05211
D06320,K11407
D03021,K00558
D10756,K24803
D08670,K05037
D08956,K02539
D12974,K24152
D01347,K04138
D10754,K24803
D11529,K05083
D08901,K04280
D08222,K05035
D03639,K05068
D12285,K07370
D02815,K08528
D05706,K11030
D09692,K24070
D10604,K04368
D10018,K04361
D02095,K04215
D00485,K04140
D11417,K05094
D06386,K03164
D01230,K05192
D08559,K08551
D12748,K05055
D10761,K06507
D05380,K05096
D02597,K03156
D05251,K08089
D02570,K05037
D08216,K04149
D08349,K00274
D07328,K05184
D00963,K07434
D08883,K05098
D11021,K19390
D03365,K04816
D03822,K01049
D11525,K06593
D05156,K04804
D00896,K24802
D10596,K00560
D08950,K04361
D07473,K05035
D03365,K04812
D08645,K04149
D00812,K05035
D00967,K08550
D00967,K08551
D02321,K03164
D00819,K04136
D05028,K05192
D11506,K00922
D04318,K06752
D02934,K04387
D10072,K05037
D07591,K05035
D08673,K05035
D10065,K22275
D09960,K11217
D02095,K04213
D12055,K07827
D03365,K04810
D01358,K04157
D03290,K04149
D10242,K05061
D08635,K04280
D00531,K05189
D09666,K04369
D11382,K22599
D10993,K18671
D10688,K02091
D10190,K05096
D10701,K08155
D02815,K08527
D10993,K11404
D08883,K05097
D11282,K24802
D09967,K05489
D02150,K04142
D08222,K05037
D12750,K06745
D06407,K05098
D01336,K04149
D07705,K05037
D01657,K05189
D10560,K00922
D02747,K05131
D00809,K05037
D05156,K04809
D10982,K28005
D10798,K00922
D09683,K05096
D03898,K18283
D08216,K04819
D02756,K03164
D10926,K05088
D09653,K05175
D01657,K05175
D04905,K05212
D01230,K05181
D11426,K24070
D11027,K05131
D05156,K04806
D04066,K12344
D02756,K03163
D00155,K01488
D05648,K04137
D02565,K01049
D02195,K01870
D09720,K24802
D10071,K05489
D10931,K04293
D09733,K05083
D09783,K11217
D11788,K05189
D12607,K19261
D02368,K10807
D03357,K05132
D10581,K22472
D00819,K04157
D05028,K05186
D11404,K06619
D11380,K19261
D03365,K04807
D00457,K05185
D10732,K24070
D10630,K04447
D10652,K02089
D07260,K07434
D02937,K05091
D07765,K04157
D09338,K11404
D11833,K06466
D01199,K24802
D11149,K05189
D06320,K11405
D06619,K10160
D11090,K00031
D11026,K05061
D09325,K06451
D06397,K07375
D01744,K05186
D05111,K04214
D01370,K10807
D07434,K08550
D11392,K24802
D08626,K04157
D10131,K02737
D01593,K05186
D10898,K05085
D12442,K05084
D03222,K05412
D08880,K02737
D11012,K05119
D00530,K05175
D03365,K04809
D00485,K04136
D00812,K05037
D05156,K04808
D11980,K04361
D08626,K05037
D00485,K04135
D10446,K05083
D06619,K10165
D02466,K00546
D05156,K04803
D07806,K05036
D03218,K05097
D10157,K10798
D10707,K24266
D05028,K05175
D07328,K05181
D08881,K05097
D09920,K05098
D06103,K04265
D07866,K07375
D11188,K05061
D08290,K02161
D10551,K05119
D08130,K05036
D04625,K04142
D10652,K02091
D10835,K24802
D11589,K04362
D09653,K05195
D04292,K01049
D07765,K04149
D00371,K04267
D02559,K00274
D10967,K04288
D11032,K04392
D09724,K05083
D10072,K05035
D00423,K22472
D09338,K11405
D11017,K01488
D10001,K04288
D11048,K11217
D11788,K05175
D01773,K00461
D01593,K05184
D00683,K04142
D11880,K06465
D00811,K05035
D05156,K04816
D10883,K02091
D07853,K04149
D11417,K04362
D07938,K05036
D00775,K05211
D00485,K04138
D10960,K06172
D00457,K05175
D02787,K05037
D10228,K04879
D12745,K22275
D02078,K05036
D06104,K04267
D02091,K04149
D10228,K04874
D07328,K05186
D11717,K05099
D11529,K03163
D05648,K04139
D09319,K04142
D02570,K05035
D11056,K04157
D07990,K04142
D10255,K19021
D07328,K05185
D11382,K24802
D00829,K01581
D12115,K24152
D09919,K05096
D11270,K05090
D11149,K05181
D10604,K04369
D01747,K03164
D01744,K05181
D04318,K06751
D06248,K04280
D11149,K05185
D07337,K00274
D10079,K24070
D10888,K04280
D08570,K04142
D05111,K04213
D00775,K05208
D02017,K04266
D09673,K20731
D10228,K04878
D09338,K11408
D00573,K04280
D10571,K24802
D07257,K00844
D05380,K04363
D11358,K04737
D08449,K04140
D08408,K04322
D06171,K05771
D00457,K05189
D02745,K05130
D03958,K06737
D08883,K05096
D10675,K08155
D00394,K05037
D01130,K04145
D09724,K04361
D09630,K11126
D07472,K00560
D02095,K04214
D06103,K04267
D10093,K22274
D11159,K00922
D00094,K08529
D01744,K05184
D00826,K00274
D01230,K05175
D11158,K00922
D07258,K01611
D10755,K24802
D12610,K24152
D10190,K05098
D08170,K04285
D04954,K04142
D11894,K04361
D11833,K06451
D09325,K06452
D11073,K05099
D07667,K04131
D11426,K10798
D10967,K04292
D03441,K03156
D04905,K05209
D08449,K04135
D06320,K18671
D11460,K04288
D02738,K04280
D09692,K10798
D08556,K04348
D11788,K05185
D01358,K04140
D10578,K22275
D10190,K05097
D11788,K05181
D01347,K04140
D00531,K05186
D11977,K05096
D03021,K17399
D08174,K05210
D08174,K05212
D00394,K05035
D00485,K04139
D00824,K05037
D07328,K05192
D10777,K01242
D11072,K04288
D11460,K04295
D09783,K11219
D03365,K04803
D01592,K04149
D01230,K05185
D11353,K05091
D11107,K06226
D05156,K04817
D03106,K08524
D06320,K11418
D04603,K06538
D10993,K06067
D01347,K04137
D10867,K00922
D03222,K05413
D06413,K06619
D11556,K05153
D06397,K12344
D00445,K24802
D11415,K05212
D00819,K04135
D01593,K05192
D13020,K24801
D10858,K04361
D11814,K03901
D11589,K05094
D01593,K05175
D09733,K04361
D05111,K04215
D09666,K04368
D10310,K05061
D10218,K08557
D10745,K22273
D01107,K05037
D00531,K05181
D10985,K03163
D10808,K06745
D09654,K03164
D11954,K09095
D07793,K05037
D01347,K04139
D01885,K03164
D10982,K24070
D02748,K05131
D01230,K05186
D02697,K03164
D08956,K04503
D08900,K07203
D05094,K00088
D05589,K00287
D10228,K04881
D04905,K05208
D08950,K05083
D08045,K04215
D07853,K04130
D07591,K05036
D01107,K05035
D12336,K24152
D09683,K05097
D07793,K05035
D00775,K05212
D11056,K04138
D06304,K07375
D10161,K05055
D10316,K06744
D00531,K05184
D10882,K22273
D09996,K04365
D10979,K02091
D09547,K19392
D08386,K03164
D12234,K06051
D08257,K04137
D02260,K05037
D01358,K04149
D09755,K07375
D09724,K05085
D05380,K05097
D11487,K06744
D09325,K06450
D01744,K05185
D01744,K05189
D00457,K05181
D08140,K05035
D00967,K05459
D06320,K06067
D11279,K05091
D11050,K01242
D08046,K04215
D03218,K05096
D07455,K13296
D05648,K04135
D03365,K04813
D05486,K05195
D05028,K05184
D11072,K04295
D11140,K05115
D07704,K05037
D01911,K03164
D03021,K17398
D09783,K11218
D02579,K00274
D05028,K05181
D07557,K04215
D02150,K04143
D02166,K03164
D11713,K05097
D00094,K08528
D08449,K04136
D01911,K03163
D09338,K06067
D06676,K24803
D10754,K24802
D01907,K10807
D10931,K04295
D08562,K05141
D02245,K04149
D08449,K04139
D02093,K04142
D01390,K04142
D08562,K03158
D11671,K08550
D10926,K04360
D07938,K05035
D10967,K04290
D04552,K05131
D12281,K04189
D11675,K04368
D02561,K00274
D08881,K05098
D09410,K19392
D09970,K11217
D02396,K04142
D08559,K08550
D10834,K24802
D11417,K05093
D01347,K04136
D05792,K04142
D05648,K04140
D08140,K05037
D10228,K04877
D11725,K05093
D03682,K05068
D00353,K24802
D01784,K00560
D11788,K05192
D05028,K05185
D10228,K04875
D04066,K07375
D12258,K04361
D00457,K05186
D05156,K04818
D10926,K05101
D10931,K04288
D10255,K13296
D08130,K05035
D07763,K04834
D07725,K05175
D06320,K11408
D10755,K24803
D10960,K06171
D11510,K04189
D11977,K05098
D10729,K06226
D04405,K04280
D03829,K19392
D03580,K04215
D11053,K04365
D06657,K06538
D05040,K00274
D04008,K21037
D11601,K06465
D07806,K05035
D06320,K11404
D08174,K05209
D07907,K04361
D00420,K00512
D03402,K04142
D03365,K04817
D12544,K04819
D08300,K04142
D10733,K24070
D12177,K05153
D07765,K04153
D10967,K04293
D11279,K04363
D10093,K22273
D11149,K05175
D01657,K05192
D10405,K04368
D02745,K05131
D02815,K08524
D05486,K05181
D09733,K05085
D10080,K05405
D11149,K05192
D11887,K04238
D00563,K04819
D05374,K05037
D10812,K04213
D10113,K24803
D07734,K04149
D11056,K04139
D10228,K04880
D11296,K04447
D09338,K11418
D12184,K03163
D09919,K05098
D01657,K05181
D01593,K05189
D00742,K03156
D08122,K04215
D08985,K05428
D01143,K04149
D06130,K00088
D08066,K06619
D11589,K05093
D10400,K05426
D00661,K04131
D05486,K05175
D07377,K04142
D11811,K04565
D07197,K04149
D05028,K05189
D09653,K05181
D11703,K03156
D10140,K24070
D01657,K05186
D10228,K04876
D10898,K04361
D11137,K05101
D06503,K00560
D03365,K04814
D10812,K04215
D07328,K05189
D09692,K28005
D03357,K05133
D09970,K11218
D11338,K06465
D09314,K06466
D11108,K06744
D11565,K22273
D10555,K00922
D08062,K03164
D02747,K05130
D00371,K04265
D01358,K04819
D11454,K05088
D10745,K22274
D07684,K04149
D02732,K04322
D11056,K04819
D11056,K04140
D08216,K04157
D01362,K04142
D11712,K05126
D10776,K11030
D03365,K04805
D08670,K05035
D12301,K07827
D02748,K05130
D03742,K20719
D11137,K03176
D09919,K05097
D01061,K03163
D11827,K06744
D07875,K05035
D07872,K05037
D11788,K05186
D08216,K04138
D12011,K05083
D11415,K05209
D11986,K05061
D03360,K04149
D02815,K08526
D11115,K04361
D10993,K06459
D11565,K22274
D01801,K04149
D08227,K05771
D01657,K05184
D03218,K05098
D10222,K10807
D00567,K11987
D11027,K05130
D06247,K04280
D11887,K04239
D00457,K05184
D07791,K05037
D11678,K04520
D08629,K04142
D00353,K21037
D03365,K04818
D09783,K04447
D12751,K06744
D09674,K20731
D12442,K05083
D10883,K02089
D07776,K03164
D06407,K04361
D10105,K22275
D00690,K05771
D08257,K04135
D09318,K04142
D01593,K05185
D11011,K00922
D02815,K08525
D10140,K28005
D10367,K03163
D04645,K07375
D02815,K08529
D02934,K04386
D10549,K24803
D00142,K00287
D00775,K05210
D01264,K03164
D10753,K22599
D01223,K00560
D11149,K05186
D08216,K04140
D00531,K05192
D10450,K05119
D09808,K04149
D01592,K04151
D11658,K21289
D00094,K08527
D00563,K04157
D00485,K04137
D06109,K00760
D08216,K04139
D07806,K05037
D08556,K17610
D11282,K24803
D08353,K04149
D10079,K28005
D04931,K00760
D08113,K04280
D03898,K04266
D03051,K04265
D08556,K17611
D07872,K05035
D08610,K05771
D10979,K02089
D12594,K07370
D10079,K10798
D01230,K05184
D03285,K04149
D06320,K11406
D10851,K24802
D09400,K04280
D09761,K04179
D00809,K05035
D00848,K20719
D10812,K04214
D10405,K04369
D12177,K06451
D06104,K04265
D11788,K05184
D09537,K19389
D11271,K05090
D10900,K22273
D10882,K22274
D11990,K06465
D12162,K25306
D07713,K04142
D00686,K04142
D01001,K01049
D00823,K05037
D07328,K05175
D09338,K11409
D08680,K07375
D11658,K00922
D03365,K04815
D10605,K21037
D03365,K04804
D01657,K05185
D11137,K04360
D10157,K24070
D11426,K28005
D00435,K24802
D08066,K04363
D01076,K01870
D09728,K06619
D12142,K24152
D11675,K04369
D03365,K04808
D09338,K11406
D12184,K05084
D08086,K03163
D00094,K10054
D03535,K04149
D03621,K04149
D01390,K04143
D07896,K21037
D09325,K06465
D09683,K05098
D08257,K04157
D00684,K04142
D01390,K04141
D03828,K00560
D11713,K05126
D04214,K05771
D08174,K05208
D07057,K24802
D10993,K06458
D03106,K08526
D11713,K05096
D07875,K04149
D01929,K04131
D01744,K05192
D11977,K05097
D10834,K21037
D10688,K02089
D05380,K05089
D11415,K05211
D01358,K04138
D05156,K04807
D10985,K17288
D00895,K24802
D04023,K04361
D03365,K04806
D00563,K04139
D07791,K05035
D02994,K06466
D06889,K05061
D10555,K21289
D09920,K05096
D10756,K24802
D08449,K04138
D10967,K04295
D06320,K11409
D03365,K04811
D04626,K04142
D01914,K06258
D07547,K04149
D10982,K10798
D11454,K04360
D12234,K06451
D07133,K24803
D04979,K04149
D02078,K05035
D05744,K13293
D09338,K11407
D12544,K05037
D00825,K05037
D01593,K05181
D11875,K24534
D12262,K25001
D10428,K21037
D11403,K06619
D11116,K20731
D00574,K07434
D00457,K05192
D00582,K05697
D02558,K01049
D10960,K06170
D11415,K05210
D07493,K04149
D02150,K04141
D01358,K04139
D00531,K05175
D10733,K28005
D10954,K13649
D08449,K04137
D12544,K04153
D12315,K01242
D08881,K05096
D09920,K05097
D10993,K06582
D08170,K04286
D04905,K05211
D01635,K04142
D09338,K18671
D08556,K06268
D02078,K08155
D12202,K06744
D12315,K05153
D10926,K03176
D05037,K04142
D00840,K04215
D04197,K00560
D11052,K05426
D00811,K05037
D10898,K05083
D10859,K04361
D10157,K28005
D10827,K22275
D05380,K05098
D09190,K06451
D10679,K02161
D10229,K05091
D03203,K05412
D10066,K24803
D12368,K06466
D07421,K11987
D08443,K04142
D00303,K04836
D10481,K05096
D02115,K00287
D01213,K04228
D01220,K18438
D11051,K12319
D03978,K05082
D00636,K04137
D11895,K24070
D08794,K01321
D07142,K00509
D07582,K11987
D12050,K07370
D09950,K06619
D02714,K07203
D01794,K04143
D00405,K04140
D11895,K28005
D02106,K08527
D08212,K04137
D08215,K04837
D10845,K01330
D10401,K01321
D03305,K05131
D10095,K05098
D10430,K04263
D07874,K04136
D03492,K04834
D10593,K09592
D00513,K04143
D00739,K04837
D03658,K06619
D13021,K11407
D02737,K19261
D00965,K08557
D09207,K06451
D11816,K17388
D01026,K04141
D01161,K08550
D09032,K07375
D12354,K05126
D12266,K11722
D02721,K04263
D00636,K05001
D02939,K04166
D00303,K04834
D07171,K04197
D11322,K00922
D00642,K04837
D06172,K04837
D05522,K03164
D10625,K22275
D10019,K11407
D12487,K05405
D03203,K05413
D08060,K04905
D12359,K03163
D07833,K04140
D08459,K04840
D03798,K05357
D01019,K04139
D02342,K04141
D10130,K02737
D04554,K05130
D01337,K04263
D02774,K04137
D11142,K04166
D08407,K04838
D07546,K13296
D12749,K06474
D05029,K05092
D11273,K09592
D12596,K11987
D00643,K04840
D04112,K24802
D11123,K05426
D07962,K04841
D03665,K00558
D05333,K07375
D01041,K04840
D00642,K04841
D00235,K04141
D00303,K04842
D08775,K24802
D10434,K13649
D10319,K06067
D10358,K04447
D11253,K04383
D08318,K04143
D07077,K04197
D03991,K04836
D01794,K04142
D00739,K04843
D00231,K13296
D12296,K06452
D11453,K04505
D10778,K22273
D13021,K06067
D08286,K04137
D06414,K06619
D10019,K06067
D10930,K04293
D11323,K08960
D00431,K14426
D11280,K01313
D02239,K04840
D00231,K19021
D10319,K18671
D05096,K00088
D03991,K04834
D07962,K04836
D08482,K04140
D12180,K06451
D10081,K22273
D00640,K04841
D01028,K04298
D00636,K04141
D02300,K04268
D04774,K04842
D02537,K04997
D02084,K13296
D10019,K11418
D06234,K04136
D09946,K05079
D04079,K14425
D00045,K04267
D09588,K05426
D00107,K06268
D12854,K06619
D09315,K04519
D10889,K04675
D04032,K05079
D08205,K04138
D05350,K04361
D10019,K11404
D12259,K04361
D00616,K04850
D08524,K04366
D11044,K00031
D01516,K08527
D00989,K04280
D00640,K04840
D01041,K04843
D12296,K06451
D08074,K04143
D01220,K01832
D10968,K04290
D02398,K07375
D09190,K06450
D10889,K11217
D03304,K05130
D02268,K04135
D10574,K06744
D08870,K11408
D02537,K04136
D02537,K04137
D07560,K04136
D07833,K04135
D07974,K00560
D03257,K05083
D06635,K04519
D00405,K04139
D09012,K22274
D03225,K03163
D09883,K05085
D08594,K04298
D08953,K06619
D06635,K04383
D10469,K22274
D09214,K05426
D01019,K04135
D00638,K04843
D03991,K04840
D10770,K01321
D10135,K04197
D00746,K05131
D10319,K11407
D10176,K04369
D11422,K07370
D08876,K22273
D03892,K04142
D08044,K00276
D01634,K14425
D08459,K04842
D12483,K00031
D09644,K22274
D01041,K04834
D00107,K17611
D10709,K05092
D08271,K04137
D08407,K04834
D06675,K21037
D01244,K00560
D10024,K04368
D08798,K03900
D08215,K04834
D08286,K04135
D02769,K04267
D03665,K17399
D09190,K06458
D13021,K11408
D10771,K03899
D07560,K04137
D10845,K01331
D08620,K08551
D12247,K22275
D10319,K11408
D02537,K04926
D00443,K08555
D07546,K18436
D05066,K05066
D11768,K04447
D06637,K11409
D10842,K03899
D00112,K01539
D00483,K04142
D03247,K05061
D10930,K04288
D00412,K24802
D11885,K05098
D03492,K04837
D00638,K04838
D00584,K00560
D03537,K21037
D08870,K18671
D02300,K04267
D11672,K08550
D09190,K06459
D05011,K04141
D13016,K05079
D02769,K04268
D09936,K04570
D10366,K22472
D03304,K05131
D02014,K04166
D00739,K04838
D00739,K04841
D11437,K00922
D06677,K24803
D12241,K24152
D11562,K24958
D12014,K24152
D01806,K04141
D02239,K04843
D02769,K04265
D12180,K04621
D10564,K25235
D11885,K04362
D00076,K04137
D07962,K04837
D12744,K22275
D10223,K07370
D09337,K06733
D10823,K04298
D01972,K01539
D01026,K04142
D08215,K04833
D10319,K11404
D10483,K05130
D00513,K04141
D11876,K24019
D00747,K05133
D02537,K04853
D00298,K01539
D03665,K17398
D10319,K11405
D09190,K06452
D13018,K24802
D12359,K17288
D00613,K04144
D02239,K04834
D00739,K04836
D01441,K04363
D06670,K04180
D07874,K04137
D05597,K04298
D09588,K05425
D02800,K06492
D10175,K04369
D08854,K03164
D04024,K05083
D12833,K06454
D00382,K10951
D10319,K11418
D12161,K25306
D10024,K04369
D02537,K04999
D00636,K04136
D01220,K18436
D00045,K04266
D11815,K17388
D09321,K06466
D10176,K04368
D07962,K04838
D10514,K05083
D10564,K25236
D10801,K26104
D03231,K05079
D00961,K08557
D12609,K06619
D11453,K06172
D00640,K04843
D00636,K04837
D00616,K04853
D07833,K04139
D09936,K02163
D03899,K03164
D09214,K05406
D07537,K04142
D02239,K04842
D10481,K05097
D09883,K05083
D00636,K04893
D12245,K04361
D11141,K05083
D00125,K03164
D00045,K04268
D02933,K13296
D02537,K04850
D03492,K04841
D06637,K11418
D10308,K11217
D07141,K11987
D00747,K05132
D02386,K14425
D00636,K04838
D03991,K04838
D02239,K04836
D05401,K03899
D08620,K08550
D10019,K11405
D08870,K11409
D00417,K13296
D07421,K00509
D02774,K04136
D09572,K12318
D11595,K05153
D11040,K08557
D00643,K04837
D01220,K18437
D01982,K21037
D12337,K04280
D12058,K06451
D00418,K05032
D00106,K04263
D00636,K04926
D07966,K10807
D10462,K22274
D10766,K04361
D07537,K04141
D00483,K04143
D11453,K06171
D11144,K06465
D09992,K06226
D10308,K04447
D03492,K04833
D06665,K04838
D10847,K05079
D08618,K03163
D11396,K24802
D10968,K04292
D09190,K05068
D08224,K03164
D08205,K04140
D07082,K01313
D11720,K07370
D10138,K05098
D09935,K02539
D10453,K11063
D05087,K04138
D06234,K04137
D06172,K04841
D04079,K10951
D02268,K04138
D10138,K05096
D01516,K08529
D10372,K02089
D00609,K04136
D08064,K04137
D01019,K04140
D10019,K11408
D01806,K04142
D02939,K04167
D00739,K04833
D00739,K04840
D00638,K04833
D06172,K04833
D11480,K06496
D02698,K03164
D13021,K11404
D10462,K22273
D10615,K04368
D06637,K11404
D10553,K22472
D09956,K05092
D00966,K08551
D00640,K04834
D00640,K04842
D00609,K04137
D08407,K04842
D06172,K04840
D09207,K06737
D10564,K25237
D08407,K04837
D00636,K04135
D07546,K19021
D08095,K04954
